object_id,numero_de_chamada,autor_principal,entradas_secundariasautor,entradas_secundariasautor_2,titulo_principal,publicacao,descricao_fisica,notas,assuntos,entradas_secundariasautor_3,catalogacao_pre_marc,serie,isbn,outros_titulos,entradas_secundariasautor_4,entradas_secundariasautor_5,entradas_secundariasautor_6,entradas_secundariasautor_7,entradas_secundariasautor_8,entradas_secundariasautor_9,notas_de_resumo,entradas_secundariastitulo,edicao,issn,entradas_secundariasautor_10,entradas_secundariasautor_11,entradas_secundariasautor_12,entradas_secundariasautor_13,entradas_secundariasautor_14,entradas_secundariasautor_15,entradas_secundariasautor_16,entradas_secundariasautor_17,entradas_secundariasautor_18,entradas_secundariasautor_19,entradas_secundariasautor_20,entradas_secundariasautor_21,entradas_secundariasautor_22,entradas_secundariasautor_23,entradas_secundariasautor_24
445,"INDIVIDUAL VERGARA, Carlos V494c  2012 Coleção Bibliográfica","Vergara, Carlos","Osorio, Luiz Camillo texto",,Carlos Vergara viajante : experiências de São Miguel das missões / [texto Luiz Camillo Osório],"Rio de Janeiro : SESC, 2012.",55 p. : il. color. ; 29 cm,Catálogo publicado em decorrência da exposição Carlos Vergara viajante : experiências de São Miguel das Missões.,"Carlos Vergara viajante : experiências de São Miguel das Missões
Arte (belas artes) Brasil -- Século 21
Fotografia Brasil -- Século 21
Pintura (obra visual) Brasil -- Século 21
Monotipia Brasil -- Século 21
Técnica mista Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21",,,,ISBN : 9788589336840,,,,,,,,,,,,,,,,,,,,,,,,,,
731,,,,,"Mar, 07","Rio de Janeiro : Itaú Cultural, 2007?.",24 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,,Despertando la mirada : um centenar de obras presentes em la Universidad Torcuato di Tella,"Buenos Aires : Centro Cultural Borges, 2008.",96 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,COLETIVO Ventosul Bienal de Curitiba V466s  2011 Coleção Bibliográfica,Ventosul Bienal de Curitiba (6 : Curitiba : 2011) :,Instituto Paraense de Arte,Curitiba,6. Ventosul Bienal de Curitiba : [curadoria e texto] Alfons Hug ... [et al.] ; [tradução] Chris Ainsbury ... [et al.].,"Curitiba : Instituto Paraense de Arte, 2011.",511 p. : il. color. ; 29 cm,"Catálogo publicado em decorrência da exposição realizada na 6ª Bienal de Curitiba no ano de 2011.
Texto em português e inglês.","Flores, Adonis artista
Alterazioni Video artista
Ventosul Bienal de Curitiba 6 Curitiba 2011
Instalação (trabalho visual) -- Brasil -- Século 21
Lohmüller, Adrian artista
Desire Machine Collective artista
Videoarte -- Brasil -- Século 21
Kazma, Ali artista
Map Office (Gutierrez + Portefaix) artista
Desenho (obra visual) -- Brasil -- Século 21
Laitinen, Antti artista
Pintura (obra visual) -- Brasil -- Século 21
Mikhailov, Boris artista
Fotografia -- Brasil -- Século 21
Restrepo, Camilo artista
Arte contemporânea (período) -- Brasil -- Século 21
Dakic, Danica artista
Almond, Darren artista
Dinh Q. Lê artista
Atay, Fikret artista
Osodi, George artista
Rajkowska, Joanna artista
Martín, Josep-Maria artista
Gilmore, Kate artista
Yilin, Lin artista
Lewis, Mark artista
Formanek, Mark artista
Subotzky, Michael artista
Broin, Michel de artista
Almeida, Neville d' artista
Hamilton, Patrick artista
Climachauska, Paulo artista
Roggan, Ricarda artista
Tao, Zhou artista
Pereda, Alejandro Almanza artista
Paz, Alejandro artista
Roy, Emmanuel Fretes artista
Weisson, Graciela Guerrero artista
Eviner, Inci artista
Lacasa, Jacqueline artista
López, Javier artista
Meza, Erika artista
Bock, John artista
Porter, Liliana artista
Molina-Pantin, Luis artista
Stevenson, Michael artista
Millán, Mónica artista
Felix, Nelson artista
Martha, Tirzo artista
François, Auguste artista
Rigatti, André artista
Bendayán, Christian artista
Jankowski, Christian artista
Canale, Cristina artista
Wylie, Duncan artista
Berliner, Eduardo artista
Atassi, Farah artista
Scandelarj, Felipe artista
Burjato, Fernando artista
Bresson, Guillaume artista
Piantavini, Livia artista
Novello, Manoel artista
Lynch, Maria artista
Rheingantz, Marina artista
Cruz, Raul artista
Constantinescu, Stefan artista
Xinguang, Yang artista
Andersen, Alfredo artista
Enli, Zhang artista
Sánchez, Joaquín artista
Medina, Marcelo artista
Guimarães, Rimon artista
Lanzarini, Ricardo artista
Noronha, Fabio artista
Rosenbaum, Fernando artista
Salvaro, C. L. artista
Segura, Cristina artista
Nicolai, Olaf artista
Preece, Sebastián artista
Rors, Tatzu artista","Hug, Alfons curadoria  texto
Instituto Paraense de Arte Curitiba
Escobar, Tício curadoria texto
Freitas, Artur curadoria texto
Prolik, Eliane curadoria texto
Landal, Simone curadoria texto
Ainsbury, Chris tradução
Norman, John tradução
Galvão, Maria Eugênia Gómez Hotlz tradução
Miller Júnior, Ralph tradução
Culverhouse, Robert tradução
Brown, Victoria tradução",,,ISBN : 9788565001007,"Sexto Ventosul Bienal de Curitiba
Além da crise",,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,Kabum mix : novos olhares sobre o mundo: um projeto da Oi Kabum!,"Rio de Janeiro : Oi Futuro, 2000.",73 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,Artistas selecionados,"Rio de Janeiro : Museu de Arte Moderna, 2002.",80 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,159.9(81) E59  2007 Coleção Bibliográfica,,"Novaes, Adauto organização  texto
Wolff, Francis texto
Delumeau, Jean texto
Rancière, Jacques texto
Stam, Robert texto
Kehl, Maria Rita texto
Jasmin, Marcelo texto
Limongi, Maria Isabel texto
Oliveira, Luiz Alberto texto
Sève, Bernard texto
Frogneux, Nathalie texto
Coli, Jorge texto
Vieira, João Luiz texto
Klein, Etienne texto",,Ensaios sobre o medo / [organização e texto] Adauto Novaes ; [texto] Francis Wolff ... [et al.].,"São Paulo : Senac São Paulo, SESC, 2007.",270 p.,,"Psicologia -- Brasil -- Século 21
Psicanálise -- Brasil -- Século 21
Medo -- Brasil -- Século 21",,,,ISBN : 9788573596168 / 9788598112459,,,,,,,,,,,,,,,,,,,,,,,,,,
306,159.964.2(81) N335v  2013 Coleção Bibliográfica,"Nazar, Teresa Palazzo",,,Você tem fome de quê? : três abordagens dos transtornos da alimentação / Teresa Palazzo Nazar,"Rio de Janeiro : Freud, 2013.",105 p. ; 23 cm,,"Psicanálise -- Brasil -- Século 21
Psicologia -- Brasil -- Século 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,351.711(81) C759  2008 Coleção Bibliográfica,,"Furtado, Rogério texto",,Contadores de estórias : Paraty - RJ,"Brasília : IPHAN/Programa Monumenta, 2008.",60 p. : il. color. ; Preservação e desenvolvimento,,"Patrimônio cultural -- Brasil -- Século 21
Paraty (RJ)
Educação -- Brasil -- Século 21",,,(9),ISBN : 9788573340662,,,,,,,,,,,,,,,,,,,,,,,,,,
221,351.711(81) F418  2009 Coleção Bibliográfica,,"Furtado, Rogério texto",,O Festival de Artes : Areia - PB / [texto] Rogério Furtado,"Brasília : IPHAN/Programa Monumenta, 2009.",91 p. : il. color. ; 15 cm,,"Patrimônio cultural -- Brasil -- Século 21
Arte performática -- Brasil -- Século 21",,,(Preservação e desenvolvimento ; 13),ISBN : 9788573341188,,,,,,,,,,,,,,,,,,,,,,,,,,
745,"INDIVIDUAL DACOSTA, Milton D118m  2012 Coleção Bibliográfica","Dacosta, Milton",Caixa Cultural,Rio de Janeiro,"Milton Dacosta, a construção da forma / curadoria Denise Mattar","Rio de Janeiro : Caixa Cultural, 2012.",82 p. : il. color. ; 27 cm,"Catálogo publicado em decorrência da exposição Milton Dacosta, a construção da forma realizada na Caixa Cultural, na cidade do Rio de Janeiro no período de 14 de maio a 1 de julho de 2012.
Texto em inglês e português.","Milton Dacosta, a construção da forma Rio de Janeiro 2012
Pintura (obra visual) Brasil -- Século 20
Gravura Brasil -- Século 20
Arte moderna (período) Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20","Mattar, Denise curadoria 
Caixa Cultural Rio de Janeiro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,"INDIVIDUAL ESPÍRITO SANTO, Iran do E77i  1998 Coleção Bibliográfica",Galeria Camargo Vilaça,São Paulo,"Espírito Santo, Iran doGaleria Camargo Vilaça São Paulo",Iran do Espírito Santo,"São Paulo : Galeria Camargo Vilaça, 1998.",[12] p. : il. color. ; 28 cm,"Catálogo publicado em decorrência da exposição realizada na Galeria Camargo Vilaça, na cidade de São Paulo no período de 3 a 26 de março de 1998. Conteúdo incompleto : Contém biografia do artista.","Escultura (trabalho visual) Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,,,,,Naïfs [entre culturas] : bienal Naïfs do Brasil,"São Paulo : SESC, 2006.",280 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,,"Di Giulio, Pablo",,,Materialized bodies : cuerpos materializados,"S. l. : Southward Art, 200-?.",ca. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,"INDIVIDUAL IVO, Gonçalo I96g  1996 Coleção Bibliográfica","Ivo, Gonçalo",Galeria de Arte do Centro Cultural Cândido Mendes,Rio de Janeiro,Gonçalo Ivo / [fotografia] Marcelo Lipiani e Denise Esquenazi,"Rio de Janeiro : Galeria de Arte do Centro Cultural Cândido Mendes, 1986.",32 p. : il. color. ; 15cm,"Catálogo publicado em decorrência da exposição realizada na Galeria de Arte do centro Cultural Cândido Mendes, na cidade do Rio de Janeiro no período de 06 a 20 de outubro de 1986; Galeria de Arte e Pesquisa da UFES, na Cidade de Vitoria-ES no período de 09 a 27 de outubro de 1986; Na Usina Arte Contemporânea, na Cidade de Vitória - ES no período de 10 a 31 de outubro de 1986.","Pintura (obra visual) Brasil -- século 20 - 21
Gonçalo Ivo Rio de Janeiro 1986
Arte plástica Brasil -- século 20 - 21
Arte contemporânea (período) Brasil -- século 20 - 21",Galeria de Arte e Pesquisa da UFES,,,,,Espirito Santo,Usina Arte Contemporânea,Espírito Santo,"Lipiani, Marcelo fotografia 
Galeria de Arte do Centro Cultural Cândido Mendes Rio de Janeiro
Esquenazi, Denise fotografia
Galeria de Arte e Pesquisa da UFES Espirito Santo
Usina Arte Contemporânea Espírito Santo",,,,,,,,,,,,,,,,,,,,,
963,"INDIVIDUAL VLAVIANOS, Nicolas V867v  2011 Coleção Bibliográfica","Vlavianos, Nicolas",Caixa Cultural,Brasília; Rio de Janeiro,"Vlavianos : espaço, arte, aço : escultura, desenho / curadoria: Sérgio Pizoli","Rio de Janeiro : Caixa Cultural, 2011.","[72] p. : il., color. ; 23 cm","Catálogo publicado em decorrência da exposição realizada na Caixa Cultural, na cidade de Brasília, no período de 6 de julho a 14 de agosto de 2011, e na cidade do Rio de Janeiro, no período de 23 de agosto a 2 de outubro de 2011. Conteúdo incompleto : Contém biografia do artista.","Espaço, arte, aço
Desenho (obra visual) Brasil -- Século 20 -- Grécia
Escultura (trabalho visual) Brasil -- Século 20 -- Grécia
Arte contemporânea (período) Brasil Grécia","Pizoli, Sérgio curadoria 
Caixa Cultural Brasília; Rio de Janeiro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,COLETIVO 7(81) I59g  1988 Coleção Bibliográfica,Instituto Cultural Brasil Argentina da Embaixada da República Argentina Rio de Janeiro,"Herkenhoff, Paulo texto
Bosco, João fotografia",,Galeria do instituto / Celso Renato de Lima ... [et al.] ; texto Paulo Herkenhoff ; fotos João Bosco,"Rio de Janeiro : Instituto Cultural Brasil Argentina, 1988.",[20] p. : il. p&b ; 20 cm,"Catálogo publicado em decorrência da exposição realizada no Instituto Cultural Brasil Argentina, na cidade do Rio de Janeiro no período de 29 de setembro a 21 de outubro de 1988 Conteúdo incompleto : Contém biografia dos artistas
Texto em português e espanhol","Lima, Celso Renato de artista
Galeria do Instituto Rio de Janeiro 1988
Pintura (obra visual) Brasil -- Século 20
Andrade, Farnese de artista
Escultura (trabalho visual) Brasil -- Século 20
Souzanetto, Manfredo de artista
Arte contemporânea (período) Brasil -- Século 20
Benjamim, Marcos artista
Kleiman, Mauro artista
Campinho, Paulo artista
Valentim, Rubem artista",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,,"Katona, Bet",,,Memórias e lugares,"Rio de Janeiro : Galeria Anna Maria Niemeyer, 2010.",8 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,,"Mazal, Ricardo",,,The Yellow circle & Eve,"Barcelona : Galeria Maeght, 1998.",24 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,LA 82-1(81) N656c  2007 Coleção Bibliográfica,"Nicomedes, Sebastião",,,"Cátia, Simone e outras marvadas : Sebastião Nicomedes","Rio de Janeiro : Dulcinéia Catadora, 2007.",31 p. ; 22 cm,Publicação feita com material reciclado comprado de cooperativas.,"Poesia -- Brasil -- Século 21
Livro de artista -- Brasil -- Século 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,"Camargo, Iberê",,,Iberê Camargo,"Rio de Janeiro : Galeria de Arte UFF, 1996.",12 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,"INDIVIDUAL VENOSA, Angelo V464t  2009 Coleção Bibliográfica","Venosa, Angelo",Casa de Cultura Laura Alvim,Rio de Janeiro,Turdus / Angelo Venosa ; [curadoria] Ligia Cannongia,"Rio de Janeiro : Casa de Cultura Laura Alvim, 2009.","43 p. : il., color. ; 21 cm","Catálogo publicado em decorrência da exposição realizada na Casa de Cultura Laura Alvim, na cidade do Rio de Janeiro no período de 23 de setembro a 15 de novembro de 2009.
Texto em português e inglês.","Escultura (trabalho visual) Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20","Canongia, Ligia curadoria 
Casa de Cultura Laura Alvim Rio de Janeiro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,Rastros,"Curitiba : Ed. Da Casa, 2013.",4 V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,COLETIVO Galeries nationales du Grand Palais G154f  2008 Coleção Bibliográfica,Galeries Nationales Du Grand Palais Paris,Galeries Nationales Du Grand Palais,Paris,Figuration narrative : Paris 1960-1972 / Anne Bergerot,"Paris : Galeries nationales du Grand palais, 2008.",ca. 40 : il. color. ; 27 cm,"Catálogo publicado em decorrência da exposição Figuration narrative : Paris 1960-1972 realizada no Galeries nationales du Grand Palais, na cidade de Paris no período de 16 de abril a 13 de julho de 2008.
Texto em francês.","Adami, Valerio artista
Equipo Crónica grupo artístico
Pintura (obra visual) França -- Século 20
Aillaud, Gilles artista
Figuration narrative : Paris 1960-1972 Paris 2008
Desenho (obra visual) França -- Século 20
Arroyo, Eduardo artista
Arte contemporânea (período) França -- Século 20
Bertholo, René artista
Bertini, Giancarlo artista
Cueco, Henri artista
Erró artista
Fahlström, Öyvind artista
Fromanger, Gérard artista
Klasen, Peter artista
Monory, Jacques artista
Rancillac, Bernard artista
Recalcati, Antonio artista
Saul, Peter artista
Stämpfli, Peter artista","Bergerot, Anne texto 
Galeries Nationales Du Grand Palais Paris",,,ISBN : 9782711854165,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,Mestres artífices : Pernambuco: cadernos de meória,"Brasília : IPHAN, 2012.",187 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,"INDIVIDUAL WRIGHT, Richard W952r  2011 Coleção Bibliográfica","Wright, Richard",Caixa Cultural,Rio de Janeiro,Richard Wright : este outro mundo / [curadoria e texto] Jorge B. Rodriguez ; [texto] Julia Wright,"Rio de Janeiro : Caixa Cultural, 2011.",95 p. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição realizada na Caixa Cultural Rio de Janeiro, no período de 13 de dezembro de 2010 a 30 de janeiro de 2011. Conteúdo incompleto : Contém biografia do artista.","Richard Wright : este outro mundo Rio de Janeiro 2011
Instalação (trabalho visual) Estados Unidos -- Século 21
Técnica mista Estados Unidos -- Século 21
Videoarte Estados Unidos -- Século 21
Pintura (obra visual) Estados Unidos -- Século 21
Fotografia Estados Unidos -- Século 21
Arte contemporânea (período) Estados Unidos -- Século 21","Rodriguez, Jorge B. curadoria  texto
Caixa Cultural Rio de Janeiro
Wright, Julia texto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,International Institute for Conservation of Historic and Artistic Works,,organização,069.9 C755  2012 Coleção BibliográficaInternational Institute for Conservation of Historic and Artistic Works organização,Conservação preventiva e procedimentos em exposições temporárias / organização Grupo Espanhol do IIC -International Institute for Conservation of Historic and Artistic Works,"Brodowski : ACAM Portinari, 2012.",324 p. ; 25 cm,,"Museologia
Conservação preventiva",,,(Coleção Museu Aberto),ISBN : 9788563566102,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,"Portinari : trabalho e jogo: cores, formas e técnicas artísticas","Rio de Janeiro : SESC, 2011.",ca. 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,Brasil : arte contemporânea,"S. l. : s. n., 2008.",64 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,72.03 B975a  2006 Coleção Bibliográfica,"Bury, John","Oliveira, Myriam Andrade Ribeiro de Organização",,Arquitetura e arte no Brasil colonial / John Bury,"Brasília : IPHAN/Programa Monumenta, 2006.",253 p. : il. color. ; 26 cm,,"Arte barroca (período) -- Brasil -- Século 21
História -- Brasil -- Século 21
Arquitetura religiosa -- Brasil -- Século 21",,,,ISBN : 9788573340341,,,,,,,,,,,,,,,,,,,,,,,,,,
55,75(81) A939a  2007 Coleção Bibliográfica,,"Rebello, Marcio apresentação
Doctors, Marcio prefácio
Cruz, Pedro Oswaldo fotografia",,Auto-retrato do Brasil / [seleção das obras] Marcio Rebello ; [prefácio] Márcio Doctors ; [fotografia] Pedro Oswaldo Cruz,"Rio de Janeiro : Bem-te-vi, 2007.",446 p. : il. color. ; 31cm,,"Maciel, Adriana artista
Arte moderna (período) -- Brasil -- século 20 - 21
Aquino, Adriano de artista
Técnica mista -- Brasil -- século 20 - 21
Tostes, Afonso artista
Arte contemporânea (período) -- Brasil -- século 20 - 21
Martins, Aldemir artista
Dacosta, Alexandre artista
Zaluar, Aloysio artista
Carvão, Aluísio artista
Perez, Amador artista
Castro, Amilcar de artista
Prestes, Analu artista
Aquino, Angelo de artista
Geiger, Anna Bella artista
Letycia, Anna artista
Dias, Antonio artista
Manuel, Antonio artista
Peticov, Antonio artista
Barrio, Artur artista
Baravelli, Luiz Paulo artista
Milhazes, Beatriz artista
Cabelo artista
Bracher, Carlos artista
Farjardo, Carlos artista
Scliar, Carlos artista
Vergara, Carlos artista
Dias, Cícero artista
Kuperman, Cláudio artista
Tozzi, Claudio artista
Machado, Cleber artista
Senise, Daniel artista
Garcia, Eduardo artista
Sued, Eduardo artista
Jobim, Elizabeth artista
Araújo, Emanoel artista
Nassar, Emmanuel artista
Barata, Fernando artista
artista
Brennand, Francisco artista
Krajcberg, Frans artista
Bonfanti, Gianguido artista
Salvador, Gilberto artista
Jacquard, Gilles artista
Rodrigues, Glauco artista
Gruber, Gregório artista
Secchin, Guilherme artista
Rosa, Gustavo artista
Freitas, Iole de, 1945- artista
Granato, Ivald artista
Machado, Ivens artista
Câmara, João artista
Nicholson, John artista
Eduardo, Jorge artista
Nemer, José Alberto artista
Bechara, José artista
Cláudio, José artista
Aguilar, José Roberto artista
Machado, Juarez artista
Villani, Julio artista
Scherpenberg, Katie Van artista
Catunda, Leda artista
Pérsio, Loio artista
Alphonsus, Luiz artista
Aquila, Luiz artista
Pizarro, Luiz artista
Zerbini, Luiz artista
Olivetto, Luiza artista
Nitsche, Marcello artista
Grostein, Marcia artista
Veloso, Marco artista
Tomaselli, Maria artista
Kranz, Marilia artista
Carneiro, Mário artista
Bentes, Maurício artista
Skowronski, Maria Beatrice Botkay artista
Felix, Nelson artista
Cavalcanti, Newton artista
Mesquita, Newton artista
Wainer, Pinky artista
Piza, Arthur Luiz artista
Fonseca, Reynaldo artista
Magalhães, Roberto artista
Britto, Romero artista
Grillo, Rubem artista
Gerchman, Rubens artista
Romagnolo, Sérgio artista
Franco, Siron artista
Martins, Sylvia artista
Fukushima, Takashi artista
Faro, Tatiana de artista
Moreno Filho, Octávio de Castro artista
Salgado, Teresa artista
Ohtake, Tomie artista
Kusuno, Tomoshige artista
Tunga artista
Pinto, Valéria Costa artista
Arruda, Victor artista
Caldas, Waltercio artista
Pimentel, Wanda artista",,,,ISBN : 9788588747203,,,,,,,,,,,,,,,,,,,,,,,,,,
771,,,,,Naïfs : bienal Naïfs do Brasil,"São Paulo : SESC, 2004.",189 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,,,,,Abstração geométrica 2 e : Milton Dacosta anos 50,"Rio de Janeiro : Galeria Rodrigo M. F. de Andrade, 1988.",1 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7(051) A425a  2011,Massachusetts Institute of Technology. MIT,"Allen, GwenMassachusetts Institute of Technology. MIT",,Artists' magazines : an alternative space for art / Gwen Allen,"Cambridge : Londres : The MIT Press, 2011.",368 p. : il. color. ; 27 cm,Texto em inglês.,"+ - 0 (Plus Moins Zéro) periódico
Arte visual -- Periódico - Século 20
0 to 9 periódico
Livro de artista -- Periódico - Século 20
4 Taxis periódico
Historiografia -- Arte contemporânea - Século 20
8 x 10 Art Portfolio periódico
Arte contemporânea (período) Século 20
A (Edition A) periódico
ABC no Rio Magazine periódico
Agentzia periódico
Aggie Weston's periódico
Aktual Art periódico
Alfabeta periódico
Amazon Quarterly: a lesbian feminist arts journal periódico
American Living periódico
Analytical Art periódico
An Anthology periódico
Apeïros periódico
Appearances periódico
De Appel periódico
Approches periódico
Aqui! periódico
Archibras periódico
Archigram periódico
ARK periódico
Art Aktuell periódico
Art & Project Bulletin periódico
Art Communication Edition (Ace) / Strike periódico
Arte Postale! periódico
Artes Visuales periódico
Artitudes International periódico
Art-Language periódico
Art Now: New York periódico
Art Papers periódico
Artpolice periódico
Artpool Letter (Aktuális Levél) periódico
Art-Rite periódico
Artscribe periódico
Art & Text periódico
Art Workers Newsletter periódico
Artworkers News periódico
Art & Artists periódico
Artzien periódico
Aspen periódico
Assembling periódico
Audio Arts periódico
Ausgabe periódico
Avalanche periódico
Axe periódico
A / YA periódico
Azimuth periódico
The Balloon Newspaper periódico
Benzene periódico
Big Deal periódico
Bijutsu Shihyö periódico
Bile periódico
Bit periódico
Black Art periódico
Black on White periódico
Black Phoenix periódico
Blast periódico
Blok periódico
Boa periódico
Bomb periódico
Brumes Blondes periódico
Bulletin from Nothing periódico
Caterpillar periódico
Centerfold periódico
Cheval d'Attaque periódico
Choke periódico
Chorus periódico
Chrysalis periódico
Circolare Sinistra periódico
La Città di Riga periódico
Cobra (Associação) periódico
Collective-Copy periódico
Collective Farm periódico
Commonpress periódico
Control periódico
Cover periódico
Culture Hero periódico
Dadazine periódico
Daily Bül periódico
Data periódico
Dé-Coll/Age periódico
Diagonal Cero periódico
Dimanche periódico
Doc(k)s periódico
Documents I periódico
Dot Zero periódico
The Dumb Ox periódico
The Duplex Planet periódico
Ear periódico
East Village Eye periódico
E.A.T. News periódico
Eau de Cologne periódico
Edda periódico
Edition After Hand. periódico
Effects periódico
Ephemera periódico
L'Esperienza Moderna periódico
Extensions periódico
Factotum Art periódico
Fandangos periódico
Fluxus periódico
The Fox periódico
Frameworks periódico
Fuck You periódico
Futura periódico
Il Gesto periódico
Gorgona periódico
Guta I periódico
Heresies periódico
High Performance periódico
L'Humidité periódico
Image Nation periódico
Impulse periódico
Integration periódico
Intermedia periódico
International Graffiti Times periódico
Just Another Asshole periódico
Kaldron periódico
Kiroku periódico
Kulchur periódico
L.A. Artists' Publication periódico
Laica Journal periódico
Landslide periódico
Left Curve periódico
Lightworks periódico
Lotta Poetica periódico
Luna-Park periódico
Mail Order Art periódico
Maj 75 periódico
Malasartes periódico
Nul = 0 periódico
Ou periódico
Provoke periódico
Radical Software periódico
Robho periódico
Salon periódico
Schmuck periódico
Semina periódico
S.M.S. periódico
Spirale periódico
The Tiger's Eye periódico
Tracks periódico
Unmuzzled Ox periódico
VH 101 periódico
VILE periódico
Vision periódico
V TRE periódico
Wedge periódico
Women Artists periódico
X Motion periódico
ZERO periódico
ZG periódico
Zipper periódico",,,,ISBN : 9780262015196,,,,,,,,,,,,,,,,,,,,,,,,,,
753,,"Canale, Cristina",,,Mondo cane,"São Paulo : Galeria Nara Roesler, 2008.",7 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,,,,,Things,"New York : The Museum of Modern RT, 1999.",ca. 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,O meu Rio fotografico,"Rio de Janeiro : Brasil Foudation: Fundo carioca, 2011.",153 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,,,,,The contemporary,"Los Angeles : The Museum of Contemporary Art, 1998.",12 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,726(81) I59c  2012 Coleção Bibliográfica,Instituto do Patrimônio Histórico e Artístico Nacional - Iphan,"Magalhães, Ana Cláudia organização 
Ferrare, Josemary organização
Silva, Maria Angélica da organização
Jardim, Alice texto
Aprígio, Érica texto
Paim, Flora texto
Cerqueira, Louise texto
Estanislau, Luísa texto
Zambi, Maria Madalena texto
Oliveira, Roseline texto
Santiago, Taciana texto",,"O Convento Franciscano de Marechal Deodoro : Santa Maria Madalena = The Franciscan Convent of Marechal Deodoro : Santa Maria Madalena / [organização Ana Cláudia Magalhães, Josemary Ferrace, Maria Angélica da Silva] ; Alice Jardim, Érica Aprígo, Flora Paim, Louise Cerqueira, Luísa Estanislau, Maria Madalena Zambi, Roseline Oliveira, Taciana Santiago","Brasília : IPHAN, 2012.",341 p. : il. color. ; 32 cm,Texto em português e inglês.,"Arquitetura religiosa Rio de Janeiro
Restauração (processo)
Preservação (função)
Arte barroca (período) Brasil
Patrimônio cultural Rio de Janeiro
Igreja (edifício) Rio de Janeiro",,,(Grandes obras e intervenções ; v. 6),ISBN : 9788573342284,The Franciscan Convent of Marechal Deodoro Santa Maria Madalena,,,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,Festival internacional de arte eletronica : videobrasil,"São Paulo : SESC, 1998.",106 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,"Jackson, Donald Dale",,,Sierra Madre : as regiões selvagens do mundo,"Rio de Janeiro : Cidade Cultural, 1989.",184 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,"Saldanha, Ione",,,Bambus e bobinas,"Rio de Janeiro : Galeria Anna Maria Niemeyer, 1994.",6 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,,"Csudai, Ivan",,,Três de um bonito par,"São Paulo : Bienal de São Paulo, 2004.",43 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,Apocalypse : beauty and horror in contemporary art,"Londres : Royal Academy of Arts, 2000.",26 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
